"Champion","DPS","Attack_Speed","Damage","Range","Health","Mana","Armor","MR"
"Aatrox","164","0.7","234","1","2520","85","35","20"
"Annie","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Ashe","NaN","NaN","NaN","NaN","1980","NaN","NaN","NaN"
"Azir","72","0.8","90","3","2160","100","20","20"
"Brand","130","0.6","216","3","2520","150","25","20"
"Braum","86","0.6","144","1","2700","65","60","20"
"Diana","126","0.7","180","1","1980","100","20","20"
"Dr. Mundo","119","0.6","198","1","2700","125","35","20"
"Ezreal","164","0.7","234","3","2160","40","20","20"
"Ivern","108","0.6","180","2","2160","100","25","20"
"Janna","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Jax","130","0.8","162","1","2340","125","30","20"
"Khazix","NaN","NaN","90","NaN","2700","40","25","20"
"Kindred","149","0.75","198","3","2340","0","20","20"
"KogMaw","59","0.65","90","3","1800","45","20","20"
"Leblanc","139","0.7","198","2","1980","80","20","20"
"Lux","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Malphite","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Malzahar","94","0.65","144","3","1980","125","20","20"
"Maokai","99","0.5","198","1","2340","0","35","20"
"Master Yi","NaN","NaN","NaN","NaN","NaN","150","NaN","NaN"
"Nami","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Nasus","99","0.55","180","1","2340","100","40","20"
"Nautilus","119","0.6","198","1","3060","125","40","20"
"Neeko","113","0.7","162","2","1800","80","20","20"
"Nocturne","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Olaf","77","0.85","90","1","2700","100","30","20"
"Ornn","99","0.55","180","1","2340","75","40","20"
"Qiyana","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"RekSai","151","0.7","216","1","2340","75","30","20"
"Renekton","119","0.6","198","1","2160","100","35","20"
"Singed","0","0","0","0","NaN","0","NaN","20"
"Sion","59","0.65","90","1","2880","150","35","20"
"Sivir","NaN","NaN","NaN","NaN","2160","NaN","NaN","NaN"
"Skarner","117","0.65","180","1","2340","100","30","20"
"Soraka","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Syndra","101","0.7","144","3","1800","80","20","20"
"Taliyah","94","0.65","144","3","1800","85","20","20"
"Taric","NaN","NaN","NaN","NaN","3240","NaN","60","NaN"
"Thresh","109","0.55","198","1","2520","125","40","20"
"Twitch","NaN","0.75","NaN","NaN","2340","90","20","20"
"Varus","162","0.75","216","4","1980","100","25","20"
"Vayne","108","0.75","144","3","1800","0","25","20"
"Veigar","89","0.55","162","3","1800","75","20","20"
"Vladimir","94","0.65","144","2","1980","75","30","20"
"Volibear","139","0.7","198","1","3060","75","35","20"
"Warwick","108","0.6","180","1","2340","150","30","20"
"Yasuo","139","0.7","198","1","2160","100","30","20"
"Yorick","NaN","NaN","NaN","NaN","2880","75","35","20"
"Zed","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Zyra","59","0.65","90","3","1800","75","20","20"
